,name,watchtime,budget,weekend_gross_us_canada,weekend_date
337,The Art of Racing in the Rain,109.0,18000000.0,8137584.0,2019-8-11
338,Skyscraper,102.0,125000000.0,24905015.0,2018-7-15
339,Alice Through the Looking Glass,113.0,170000000.0,26858726.0,2016-5-29
340,Hotel Artemis,94.0,15000000.0,3232790.0,2018-6-10
341,The Boss Baby,97.0,125000000.0,50198902.0,2017-4-2
342,Hotel Transylvania 3: A Monster Vacation,97.0,80000000.0,44076225.0,2018-7-15
343,Thoroughbreds,92.0,6000000.0,1224430.0,2018-3-11
344,Pitch Perfect 3,93.0,45000000.0,19928525.0,2017-12-24
345,The Book of Henry,105.0,10000000.0,1424540.0,2017-6-18
346,Patriots Day,133.0,45000000.0,161306.0,2016-12-25
347,Criminal,113.0,31500000.0,5767278.0,2016-4-17
348,The Beach Bum,95.0,5000000.0,1763070.0,2019-3-31
349,Tolkien,112.0,20000000.0,2200537.0,2019-5-12
350,Jackie,100.0,9000000.0,278715.0,2016-12-4
351,Eighth Grade,93.0,2000000.0,263797.0,2018-7-15
352,Ma,99.0,5000000.0,18099805.0,2019-6-2
353,Battle of the Sexes,121.0,25000000.0,518332.0,2017-9-24
354,The Circle,110.0,18000000.0,9034148.0,2017-4-30
355,Miss Sloane,132.0,13000000.0,59797.0,2016-11-27
356,Boy Erased,115.0,11000000.0,207057.0,2018-11-4
357,The Beguiled,93.0,10500000.0,229292.0,2017-6-25
358,Jeepers Creepers 3,100.0,6200000.0,19151.0,2017-10-1
359,Triple 9,115.0,20000000.0,6109085.0,2016-2-28
360,The Girl in the Spider's Web,115.0,43000000.0,7810112.0,2018-11-11
361,Searching,102.0,880000.0,388769.0,2018-8-26
362,Hunter Killer,121.0,40000000.0,6653777.0,2018-10-28
363,The Boss,99.0,29000000.0,23586645.0,2016-4-10
364,The Glass Castle,127.0,9000000.0,4678548.0,2017-8-13
365,Last Christmas,103.0,25000000.0,11441055.0,2019-11-10
366,A Wrinkle in Time,109.0,100000000.0,33123609.0,2018-3-11
367,The Spy Who Dumped Me,117.0,40000000.0,12103043.0,2018-8-5
368,The Infiltrator,127.0,28000000.0,5303775.0,2016-7-17
369,Going in Style,96.0,25000000.0,11932330.0,2017-4-9
370,Shaft,111.0,35000000.0,8901419.0,2019-6-16
371,The Emoji Movie,86.0,50000000.0,24531923.0,2017-7-30
372,Insidious: The Last Key,103.0,10000000.0,29581355.0,2018-1-7
373,The Upside,126.0,37500000.0,20355000.0,2019-1-13
374,The Shack,132.0,20000000.0,16172119.0,2017-3-5
375,Assassination Nation,108.0,7000000.0,1050021.0,2018-9-23
376,Snowden,134.0,40000000.0,8000058.0,2016-9-18
377,All the Money in the World,132.0,50000000.0,5584684.0,2017-12-31
378,Gold,120.0,20000000.0,3471316.0,2017-1-29
379,Tulip Fever,105.0,25000000.0,1158017.0,2017-9-3
380,How to Be Single,110.0,38000000.0,17878911.0,2016-2-14
381,Unsane,98.0,1500000.0,3762145.0,2018-3-25
382,The BFG,117.0,140000000.0,18775350.0,2016-7-3
383,First Reformed,113.0,3500000.0,97562.0,2018-5-20
384,Angry Birds,97.0,73000000.0,38155177.0,2016-5-22
385,The Belko Experiment,89.0,5000000.0,4137230.0,2017-3-19
386,Motherless Brooklyn,144.0,26000000.0,3500454.0,2019-11-3
387,Paterson,118.0,5000000.0,69335.0,2017-1-1
388,De Lego Film 2,107.0,99000000.0,34115335.0,2019-2-10
389,Queen & Slim,132.0,18000000.0,11890490.0,2019-12-1
390,Blair Witch,89.0,5000000.0,9576057.0,2016-9-18
391,Flatliners,109.0,19000000.0,6574326.0,2017-10-1
392,Stuber,93.0,16000000.0,8225384.0,2019-7-14
393,The Hustle,93.0,21000000.0,13007709.0,2019-5-12
394,Ben-Hur,123.0,100000000.0,11203815.0,2016-8-21
395,Rough Night,101.0,20000000.0,8004283.0,2017-6-18
396,The Commuter,104.0,30000000.0,13701452.0,2018-1-14
397,The Finest Hours,117.0,80000000.0,10288932.0,2016-1-31
398,Pet Sematary,101.0,21000000.0,24502775.0,2019-4-7
399,Tully,95.0,13000000.0,3282610.0,2018-5-6
400,Child's Play,90.0,10000000.0,14094594.0,2019-6-23
401,The Best of Enemies,133.0,10000000.0,4446190.0,2019-4-7
402,Happy Death Day 2U,100.0,9000000.0,9497665.0,2019-2-17
403,The Last Full Measure,116.0,20000000.0,1058019.0,2020-1-26
404,The Promise,133.0,90000000.0,4095718.0,2017-4-23
405,Christopher Robin,104.0,75000000.0,24585139.0,2018-8-5
406,Ice Age: Collision Course,94.0,105000000.0,21373064.0,2016-7-24
407,Collateral Beauty,97.0,36000000.0,7102085.0,2016-12-18
408,Alpha,96.0,51000000.0,10352512.0,2018-8-19
409,The Darkest Minds,104.0,34000000.0,5842609.0,2018-8-5
410,Live by Night,129.0,108000000.0,33336.0,2016-12-25
411,The Kid Who Would Be King,120.0,59000000.0,7173887.0,2019-1-27
412,Ophelia,114.0,12000000.0,22145.0,2019-6-30
413,The Purge: Election Year,108.0,10000000.0,31515110.0,2016-7-3
