,name,watchtime,budget,weekend_gross_us_canada,weekend_date,vader_sentiment,text_blob_polarity,text_blob_subjectivity,popularity,weekend_roi
166,Jason Bourne,123.0,120000000.0,59215365.0,2016-7-31,-0.00893874355279223,0.08155242189501465,0.3504136885834885,2011.0,0.493461375
167,The Legend of Tarzan,110.0,180000000.0,38527856.0,2016-7-3,0.04500962157807915,0.07067601286611243,0.2285813865057672,356.0,0.21404364444444443
168,The Mule,116.0,50000000.0,17509431.0,2018-12-16,0.08816947151742136,0.09625772647150012,0.2853043352125441,100.0,0.35018862
169,Instant Family,118.0,48000000.0,14504315.0,2018-11-18,0.10426884683966822,0.06847866384149726,0.4293368614108408,101.0,0.30217322916666667
170,Lion,118.0,12000000.0,123360.0,2016-11-27,0.03199336718845218,0.029864201508379117,0.2601576835874076,24885.0,0.01028
171,Sorry to Bother You,112.0,3200000.0,727266.0,2018-7-8,0.016722213660901993,0.0206763203999057,0.4093582928863649,7884.0,0.227270625
172,The Neon Demon,117.0,7000000.0,589014.0,2016-6-26,0.06371746601446751,0.04543729822890512,0.22945085654627864,365.0,0.08414485714285715
173,Ant-Man and the Wasp,118.0,162000000.0,75812205.0,2018-7-8,0.08983991591122802,0.11101666460162829,0.2806130962327414,21069.0,0.46797657407407406
174,Allied,124.0,85000000.0,12701743.0,2016-11-27,0.0343301248585966,0.027147804629300862,0.34129305598138593,10502.0,0.1494322705882353
175,Godzilla II: King of the Monsters,132.0,170000000.0,47776293.0,2019-6-2,-0.07877855994152047,0.0576112617944557,0.3463711659401176,105.0,0.28103701764705885
176,Escape Room,99.0,9000000.0,18238172.0,2019-1-6,0.09216858815889215,0.005020891111421622,0.3287036321286905,100.0,2.0264635555555555
177,The 15:17 to Paris,94.0,30000000.0,12554286.0,2018-2-11,0.20250439913356458,0.08774548297004432,0.3813275558026729,12492.0,0.4184762
178,Under the Silver Lake,139.0,8500000.0,35270.0,2019-4-21,-0.04212995800089101,0.09445742818594009,0.3218190664155481,356.0,0.004149411764705882
179,Five Feet Apart,116.0,7000000.0,13190286.0,2019-3-17,0.09733607898516113,0.07628936536434293,0.33943334952475207,7027.0,1.8843265714285715
180,CHIPS,100.0,25000000.0,7722802.0,2017-3-26,0.0582890610436227,0.059599814247492965,0.3230109070252938,17885.0,0.30891208
181,Swiss Army Man,97.0,3000000.0,105453.0,2016-6-26,0.08880711148678608,0.06922247087749853,0.32613805769641296,342.0,0.035151
182,Game Night,100.0,37000000.0,17005332.0,2018-2-25,0.13039675088418165,0.04479715580604621,0.3720276173066685,36320.0,0.4596035675675676
